estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon,N_estado,rango_edad,total
30,1,Hombres,67,1.249948108193703,MORENA-PT-Partido Verde,2,0.8000332121347803,50874.39757632958,VERACRUZ DE IGNACIO DE LA LLAVE,65-100,-50874.39757632958
2,1,Hombres,47,0.5148430010080732,MORENA-PT-Partido Verde,2,1.942339699756973,123514.07493452611,BAJA CALIFORNIA,45-49,-123514.07493452611
8,1,Mujeres,19,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691,COAHUILA DE ZARAGOZA,19-19,74284.06897413691
6,1,Mujeres,24,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989,CHIHUAHUA,20-24,90798.61685257989
14,1,Mujeres,22,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691,JALISCO,20-24,74284.06897413691
32,2,Mujeres,50,0.3725363649355181,PAN-PRI-PRD,2,2.6843017061517975,170695.70380608144,ZACATECAS,50-54,170695.70380608144
1,2,Mujeres,49,0.4788700801741992,PAN-PRI-PRD,2,2.088249070888347,132792.50393529516,AGUASCALIENTES,45-49,132792.50393529516
2,2,Hombres,98,0.8455605029158749,PAN-PRI-PRD,2,1.1826474824114277,75204.97561882225,BAJA CALIFORNIA,65-100,-75204.97561882225
8,2,Mujeres,44,0.6244347805271155,PAN-PRI-PRD,2,1.6014482715966778,101836.66731751835,COAHUILA DE ZARAGOZA,40-44,101836.66731751835
2,2,Mujeres,33,0.7575168826792147,PAN-PRI-PRD,2,1.320102591592628,83945.79508395727,BAJA CALIFORNIA,30-34,83945.79508395727
15,2,Hombres,21,0.5458401079084114,PAN-PRI-PRD,2,1.832038330477162,116499.97148376924,MEXICO,20-24,-116499.97148376924
9,2,Mujeres,27,0.7575168826792147,PAN-PRI-PRD,2,1.320102591592628,83945.79508395727,COLIMA,25-29,83945.79508395727
8,2,Mujeres,35,0.5214441514450278,PAN-PRI-PRD,2,1.9177509177709573,121950.465509692,COAHUILA DE ZARAGOZA,35-39,121950.465509692
16,3,Mujeres,22,0.7003449965462845,Movimiento Ciudadano,2,1.4278677008209508,90798.61685257989,MICHOACAN  DE OCAMPO,20-24,90798.61685257989
18,3,Hombres,18,1.0270162309078112,Movimiento Ciudadano,2,0.9736944460128631,61917.577436744104,NAYARIT,18-18,-61917.577436744104
12,1,Mujeres,52,1.6066632898079851,MORENA-PT-Partido Verde,2,0.6224079471682654,39579.143563818674,GUERRERO,50-54,39579.143563818674
16,2,Mujeres,25,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081,MICHOACAN  DE OCAMPO,25-29,68677.64563231081
9,3,Mujeres,68,1.9829470753643388,Movimiento Ciudadano,2,0.5042998940434474,32068.610300324646,COLIMA,65-100,32068.610300324646
15,1,Hombres,33,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114277,75204.97561882225,MEXICO,30-34,-75204.97561882225
16,3,Mujeres,49,0.3725363649355181,Movimiento Ciudadano,2,2.6843017061517975,170695.70380608144,MICHOACAN  DE OCAMPO,45-49,170695.70380608144
7,2,Hombres,20,0.5458401079084114,PAN-PRI-PRD,2,1.832038330477162,116499.97148376924,CIUDAD DE MEXICO,20-24,-116499.97148376924
9,1,Hombres,54,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842,COLIMA,50-54,-80239.48549822842
28,1,Mujeres,20,0.5848341793751031,MORENA-PT-Partido Verde,2,1.709886383638697,108732.28557533,TAMAULIPAS,20-24,108732.28557533
15,1,Mujeres,21,1.962184829516067,MORENA-PT-Partido Verde,2,0.5096359858447329,32407.934282985327,MEXICO,20-24,32407.934282985327
8,2,Mujeres,36,1.198200797319328,PAN-PRI-PRD,2,0.8345846557916233,53071.53621354187,COAHUILA DE ZARAGOZA,35-39,53071.53621354187
16,1,Hombres,41,0.8397506052671342,MORENA-PT-Partido Verde,2,1.1908297460314288,75725.28868353557,MICHOACAN  DE OCAMPO,40-44,-75725.28868353557
26,1,Hombres,52,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649,SONORA,50-54,-96087.61624393649
5,3,Hombres,41,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557,CHIAPAS,40-44,-75725.28868353557
18,1,Hombres,54,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842,NAYARIT,50-54,-80239.48549822842
11,2,Mujeres,64,3.469138260855638,PAN-PRI-PRD,2,0.28825602348675405,18330.30344266053,GUANAJUATO,60-64,18330.30344266053
16,3,Hombres,38,3.715364497070989,Movimiento Ciudadano,2,0.26915259614187276,17115.50967776082,MICHOACAN  DE OCAMPO,35-39,-17115.50967776082
17,1,Mujeres,44,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.53621354187,MORELOS,40-44,53071.53621354187
12,1,Mujeres,57,0.9584160012281226,MORENA-PT-Partido Verde,2,1.0433882559541905,66349.43169202333,GUERRERO,55-59,66349.43169202333
24,1,Mujeres,23,1.962184829516067,MORENA-PT-Partido Verde,2,0.5096359858447329,32407.934282985327,SAN LUIS POTOSI,20-24,32407.934282985327
9,1,Hombres,52,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649,COLIMA,50-54,-96087.61624393649
30,1,Mujeres,61,0.654773694532727,MORENA-PT-Partido Verde,2,1.5272452273966814,97118.06924590656,VERACRUZ DE IGNACIO DE LA LLAVE,60-64,97118.06924590656
14,1,Hombres,25,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114277,75204.97561882225,JALISCO,25-29,-75204.97561882225
6,3,Mujeres,45,0.5734518885405548,Movimiento Ciudadano,2,1.7438254542068343,110890.4831892106,CHIHUAHUA,45-49,110890.4831892106
8,3,Mujeres,50,0.7009395019692667,Movimiento Ciudadano,2,1.4266566475288276,90721.60554138044,COAHUILA DE ZARAGOZA,50-54,90721.60554138044
9,3,Hombres,85,1.249948108193703,Movimiento Ciudadano,2,0.8000332121347803,50874.39757632958,COLIMA,65-100,-50874.39757632958
9,97,Hombres,38,0.5455342360713059,Ninguno,2,1.83306552344277,116565.29105116636,COLIMA,35-39,-116565.29105116636
9,3,Mujeres,83,0.7077554783613371,Movimiento Ciudadano,2,1.4129173571574398,89847.91916165443,COLIMA,65-100,89847.91916165443
9,1,Hombres,63,0.6260383938828235,MORENA-PT-Partido Verde,2,1.5973461208948976,101575.81008989963,COLIMA,60-64,-101575.81008989963
2,1,Hombres,34,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114277,75204.97561882225,BAJA CALIFORNIA,30-34,-75204.97561882225
30,1,Hombres,22,0.7016402178123943,MORENA-PT-Partido Verde,2,1.425231870427618,90631.00345686052,VERACRUZ DE IGNACIO DE LA LLAVE,20-24,-90631.00345686052
22,1,Hombres,22,0.8402214392558371,MORENA-PT-Partido Verde,2,1.1901624420410823,75682.85458455789,QUERETARO,20-24,-75682.85458455789
21,2,Hombres,46,0.7925070382889164,PAN-PRI-PRD,2,1.2618184466337066,80239.48549822842,PUEBLA,45-49,-80239.48549822842
30,1,Mujeres,44,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.53621354187,VERACRUZ DE IGNACIO DE LA LLAVE,40-44,53071.53621354187
25,1,Hombres,69,0.5453152567825396,MORENA-PT-Partido Verde,2,1.8338016176187408,116612.09954260636,SINALOA,65-100,-116612.09954260636
30,1,Mujeres,20,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691,VERACRUZ DE IGNACIO DE LA LLAVE,20-24,74284.06897413691
21,1,Mujeres,24,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989,PUEBLA,20-24,90798.61685257989
24,1,Mujeres,38,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.53621354187,SAN LUIS POTOSI,35-39,53071.53621354187
5,1,Mujeres,33,2.1223656092718657,MORENA-PT-Partido Verde,2,0.47117235392024504,29962.018197158704,CHIAPAS,30-34,29962.018197158704
14,1,Mujeres,65,0.865100948191457,MORENA-PT-Partido Verde,2,1.1559344630133133,73506.28517858725,JALISCO,65-100,73506.28517858725
2,1,Mujeres,46,0.7009395019692667,MORENA-PT-Partido Verde,2,1.4266566475288276,90721.60554138044,BAJA CALIFORNIA,45-49,90721.60554138044
9,1,Mujeres,47,0.4788700801741992,MORENA-PT-Partido Verde,2,2.088249070888347,132792.50393529516,COLIMA,45-49,132792.50393529516
2,1,Hombres,50,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842,BAJA CALIFORNIA,50-54,-80239.48549822842
2,1,Hombres,24,1.0270162309078112,MORENA-PT-Partido Verde,2,0.9736944460128631,61917.577436744104,BAJA CALIFORNIA,20-24,-61917.577436744104
9,1,Mujeres,40,0.6244347805271155,MORENA-PT-Partido Verde,2,1.6014482715966778,101836.66731751835,COLIMA,40-44,101836.66731751835
30,1,Hombres,45,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842,VERACRUZ DE IGNACIO DE LA LLAVE,45-49,-80239.48549822842
14,1,Hombres,45,2.220398939785173,MORENA-PT-Partido Verde,2,0.4503695178744552,28639.15842626908,JALISCO,45-49,-28639.15842626908
28,1,Mujeres,19,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989,TAMAULIPAS,19-19,90798.61685257989
21,1,Mujeres,23,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691,PUEBLA,20-24,74284.06897413691
2,1,Hombres,18,1.6122644507266035,MORENA-PT-Partido Verde,2,0.6202456424250545,39441.64183324207,BAJA CALIFORNIA,18-18,-39441.64183324207
2,1,Hombres,70,1.973854796986371,MORENA-PT-Partido Verde,2,0.5066228790115532,32216.329743766128,BAJA CALIFORNIA,65-100,-32216.329743766128
1,3,Hombres,54,0.9686941482381854,Movimiento Ciudadano,2,1.0323175811671332,65645.44353001674,AGUASCALIENTES,50-54,-65645.44353001674
5,3,Hombres,21,2.354082301825943,Movimiento Ciudadano,2,0.4247939841459028,27012.80110585073,CHIAPAS,20-24,-27012.80110585073
30,1,Mujeres,49,0.7009395019692667,MORENA-PT-Partido Verde,2,1.4266566475288276,90721.60554138044,VERACRUZ DE IGNACIO DE LA LLAVE,45-49,90721.60554138044
14,1,Hombres,49,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649,JALISCO,45-49,-96087.61624393649
5,1,Mujeres,54,1.6066632898079851,MORENA-PT-Partido Verde,2,0.6224079471682654,39579.143563818674,CHIAPAS,50-54,39579.143563818674
16,2,Mujeres,26,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004168,MICHOACAN  DE OCAMPO,25-29,100525.96042004168
7,2,Hombres,31,0.7060986874661334,PAN-PRI-PRD,2,1.4162326283150937,90058.7384381414,CIUDAD DE MEXICO,30-34,-90058.7384381414
30,2,Hombres,70,1.249948108193703,PAN-PRI-PRD,2,0.8000332121347803,50874.39757632958,VERACRUZ DE IGNACIO DE LA LLAVE,65-100,-50874.39757632958
11,2,Hombres,53,0.7925070382889164,PAN-PRI-PRD,2,1.2618184466337066,80239.48549822842,GUANAJUATO,50-54,-80239.48549822842
24,2,Hombres,68,1.249948108193703,PAN-PRI-PRD,2,0.8000332121347803,50874.39757632958,SAN LUIS POTOSI,65-100,-50874.39757632958
2,2,Mujeres,41,0.6244347805271155,PAN-PRI-PRD,2,1.6014482715966778,101836.66731751835,BAJA CALIFORNIA,40-44,101836.66731751835
24,2,Hombres,37,1.0264407229216197,PAN-PRI-PRD,2,0.9742403800519918,61952.29357719403,SAN LUIS POTOSI,35-39,-61952.29357719403
24,2,Mujeres,19,0.8560429966237764,PAN-PRI-PRD,2,1.1681656224558676,74284.06897413691,SAN LUIS POTOSI,19-19,74284.06897413691
30,2,Mujeres,60,1.504572178398563,PAN-PRI-PRD,2,0.6646407625750334,42264.74337290471,VERACRUZ DE IGNACIO DE LA LLAVE,60-64,42264.74337290471
1,97,Hombres,38,0.8397506052671342,Ninguno,2,1.1908297460314288,75725.28868353557,AGUASCALIENTES,35-39,-75725.28868353557
5,1,Mujeres,47,0.4788700801741992,MORENA-PT-Partido Verde,2,2.088249070888347,132792.50393529516,CHIAPAS,45-49,132792.50393529516
28,1,Mujeres,28,0.7575168826792147,MORENA-PT-Partido Verde,2,1.320102591592628,83945.79508395727,TAMAULIPAS,25-29,83945.79508395727
28,1,Hombres,18,0.8402214392558371,MORENA-PT-Partido Verde,2,1.1901624420410823,75682.85458455789,TAMAULIPAS,18-18,-75682.85458455789
1,2,Mujeres,21,0.7003449965462845,PAN-PRI-PRD,2,1.4278677008209508,90798.61685257989,AGUASCALIENTES,20-24,90798.61685257989
2,3,Hombres,38,2.3527631472458292,Movimiento Ciudadano,2,0.425032158961947,27027.946727432827,BAJA CALIFORNIA,35-39,-27027.946727432827
5,3,Mujeres,22,0.45497100005745206,Movimiento Ciudadano,2,2.197942286153894,139767.9346551703,CHIAPAS,20-24,139767.9346551703
8,3,Hombres,66,0.5453152567825396,Movimiento Ciudadano,2,1.8338016176187408,116612.09954260636,COAHUILA DE ZARAGOZA,65-100,-116612.09954260636
28,3,Mujeres,21,0.7003449965462845,Movimiento Ciudadano,2,1.4278677008209508,90798.61685257989,TAMAULIPAS,20-24,90798.61685257989
21,3,Hombres,53,3.506341639135652,Movimiento Ciudadano,2,0.2851975371819473,18135.81320663982,PUEBLA,50-54,-18135.81320663982
15,2,Mujeres,54,1.6066632898079851,PAN-PRI-PRD,2,0.6224079471682654,39579.143563818674,MEXICO,50-54,39579.143563818674
3,98,Hombres,19,0.8402214392558371,NS,2,1.1901624420410823,75682.85458455789,BAJA CALIFORNIA SUR,19-19,-75682.85458455789
16,1,Mujeres,32,1.453566266829163,MORENA-PT-Partido Verde,2,0.6879631309698864,43747.82110535951,MICHOACAN  DE OCAMPO,30-34,43747.82110535951
31,1,Mujeres,35,1.7495041149930255,MORENA-PT-Partido Verde,2,0.5715905389590846,36347.64643367584,YUCATAN,35-39,36347.64643367584
20,3,Mujeres,43,0.6244347805271155,Movimiento Ciudadano,2,1.6014482715966778,101836.66731751835,OAXACA,40-44,101836.66731751835
19,3,Mujeres,20,0.5848341793751031,Movimiento Ciudadano,2,1.709886383638697,108732.28557533,NUEVO LEON,20-24,108732.28557533
14,3,Hombres,33,0.549308568659551,Movimiento Ciudadano,2,1.820470418730674,115764.36384599587,JALISCO,30-34,-115764.36384599587
11,2,Mujeres,65,1.9829470753643388,PAN-PRI-PRD,2,0.5042998940434474,32068.610300324646,GUANAJUATO,65-100,32068.610300324646
16,2,Mujeres,21,0.45497100005745206,PAN-PRI-PRD,2,2.197942286153894,139767.9346551703,MICHOACAN  DE OCAMPO,20-24,139767.9346551703
15,2,Mujeres,25,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081,MEXICO,25-29,68677.64563231081
19,2,Mujeres,20,1.3438616160233574,PAN-PRI-PRD,2,0.7441242372552586,47319.125903899774,NUEVO LEON,20-24,47319.125903899774
1,2,Mujeres,23,0.45497100005745206,PAN-PRI-PRD,2,2.197942286153894,139767.9346551703,AGUASCALIENTES,20-24,139767.9346551703
30,2,Mujeres,26,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004168,VERACRUZ DE IGNACIO DE LA LLAVE,25-29,100525.96042004168
32,2,Mujeres,45,0.5734518885405548,PAN-PRI-PRD,2,1.7438254542068343,110890.4831892106,ZACATECAS,45-49,110890.4831892106
2,3,Mujeres,43,0.4056568090985166,Movimiento Ciudadano,2,2.465137962856536,156759.0031271584,BAJA CALIFORNIA,40-44,156759.0031271584
15,1,Hombres,27,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114277,75204.97561882225,MEXICO,25-29,-75204.97561882225
16,2,Hombres,25,0.7060986874661334,PAN-PRI-PRD,2,1.4162326283150937,90058.7384381414,MICHOACAN  DE OCAMPO,25-29,-90058.7384381414
3,2,Mujeres,19,1.962184829516067,PAN-PRI-PRD,2,0.5096359858447329,32407.934282985327,BAJA CALIFORNIA SUR,19-19,32407.934282985327
13,3,Mujeres,18,0.7003449965462845,Movimiento Ciudadano,2,1.4278677008209508,90798.61685257989,HIDALGO,18-18,90798.61685257989
19,3,Hombres,32,3.74106961394778,Movimiento Ciudadano,2,0.26730323228194236,16997.9079696738,NUEVO LEON,30-34,-16997.9079696738
14,3,Mujeres,55,0.9584160012281226,Movimiento Ciudadano,2,1.0433882559541905,66349.43169202333,JALISCO,55-59,66349.43169202333
7,3,Hombres,30,0.549308568659551,Movimiento Ciudadano,2,1.820470418730674,115764.36384599587,CIUDAD DE MEXICO,30-34,-115764.36384599587
5,3,Mujeres,27,0.7575168826792147,Movimiento Ciudadano,2,1.320102591592628,83945.79508395727,CHIAPAS,25-29,83945.79508395727
15,3,Mujeres,22,0.45497100005745206,Movimiento Ciudadano,2,2.197942286153894,139767.9346551703,MEXICO,20-24,139767.9346551703
11,1,Hombres,25,1.0335422546207569,MORENA-PT-Partido Verde,2,0.9675463151401926,61526.6155996312,GUANAJUATO,25-29,-61526.6155996312
30,1,Mujeres,33,0.9259251161066312,MORENA-PT-Partido Verde,2,1.0800009445740515,68677.64563231081,VERACRUZ DE IGNACIO DE LA LLAVE,30-34,68677.64563231081
30,2,Mujeres,34,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004168,VERACRUZ DE IGNACIO DE LA LLAVE,30-34,100525.96042004168
16,2,Mujeres,26,2.1223656092718657,PAN-PRI-PRD,2,0.47117235392024504,29962.018197158704,MICHOACAN  DE OCAMPO,25-29,29962.018197158704
7,1,Hombres,62,1.7539970232232502,MORENA-PT-Partido Verde,2,0.5701263951761674,36254.541007811975,CIUDAD DE MEXICO,60-64,-36254.541007811975
30,2,Mujeres,34,0.4921120524492657,PAN-PRI-PRD,2,2.0320575263762617,129219.26355905154,VERACRUZ DE IGNACIO DE LA LLAVE,30-34,129219.26355905154
21,2,Hombres,73,0.4461327446568079,PAN-PRI-PRD,2,2.241485324663313,142536.85201911145,PUEBLA,65-100,-142536.85201911145
14,1,Hombres,21,0.8402214392558371,MORENA-PT-Partido Verde,2,1.1901624420410823,75682.85458455789,JALISCO,20-24,-75682.85458455789
28,2,Mujeres,60,0.654773694532727,PAN-PRI-PRD,2,1.5272452273966814,97118.06924590656,TAMAULIPAS,60-64,97118.06924590656
21,2,Mujeres,35,0.6244347805271155,PAN-PRI-PRD,2,1.6014482715966778,101836.66731751835,PUEBLA,35-39,101836.66731751835
13,2,Hombres,27,0.549308568659551,PAN-PRI-PRD,2,1.820470418730674,115764.36384599587,HIDALGO,25-29,-115764.36384599587
2,2,Hombres,24,0.5458401079084114,PAN-PRI-PRD,2,1.832038330477162,116499.97148376924,BAJA CALIFORNIA,20-24,-116499.97148376924
7,2,Hombres,50,0.7925070382889164,PAN-PRI-PRD,2,1.2618184466337066,80239.48549822842,CIUDAD DE MEXICO,50-54,-80239.48549822842
28,2,Mujeres,83,0.5910224195602302,PAN-PRI-PRD,2,1.69198319201509,107593.8152284375,TAMAULIPAS,65-100,107593.8152284375
22,2,Mujeres,47,1.100371938753226,PAN-PRI-PRD,2,0.908783625592132,57789.87519263566,QUERETARO,45-49,57789.87519263566
9,2,Hombres,58,0.4066985779063897,PAN-PRI-PRD,2,2.458823448923323,156357.46093182586,COLIMA,55-59,-156357.46093182586
11,2,Mujeres,53,0.5734518885405548,PAN-PRI-PRD,2,1.7438254542068343,110890.4831892106,GUANAJUATO,50-54,110890.4831892106
7,2,Hombres,65,0.3725502129670507,PAN-PRI-PRD,2,2.684201928206769,170689.35889093575,CIUDAD DE MEXICO,65-100,-170689.35889093575
25,2,Hombres,85,0.28982496054923895,PAN-PRI-PRD,2,3.4503584443000657,219409.52527180267,SINALOA,65-100,-219409.52527180267
26,2,Mujeres,30,0.6325764682109873,PAN-PRI-PRD,2,1.5808365474424564,100525.96042004168,SONORA,30-34,100525.96042004168
9,2,Mujeres,78,0.865100948191457,PAN-PRI-PRD,2,1.1559344630133133,73506.28517858725,COLIMA,65-100,73506.28517858725
30,1,Hombres,55,0.7652168364789205,MORENA-PT-Partido Verde,2,1.3068191293351752,83101.09497672977,VERACRUZ DE IGNACIO DE LA LLAVE,55-59,-83101.09497672977
17,1,Mujeres,54,1.100371938753226,MORENA-PT-Partido Verde,2,0.908783625592132,57789.87519263566,MORELOS,50-54,57789.87519263566
9,1,Mujeres,21,0.45497100005745206,MORENA-PT-Partido Verde,2,2.197942286153894,139767.9346551703,COLIMA,20-24,139767.9346551703
15,1,Mujeres,55,0.9584160012281226,MORENA-PT-Partido Verde,2,1.0433882559541905,66349.43169202333,MEXICO,55-59,66349.43169202333
2,2,Mujeres,55,0.654773694532727,PAN-PRI-PRD,2,1.5272452273966814,97118.06924590656,BAJA CALIFORNIA,55-59,97118.06924590656
8,2,Hombres,45,1.5207073577121544,PAN-PRI-PRD,2,0.6575887168090391,41816.30126502229,COAHUILA DE ZARAGOZA,45-49,-41816.30126502229
9,2,Hombres,49,0.6617955517242865,PAN-PRI-PRD,2,1.5110406792468354,96087.61624393649,COLIMA,45-49,-96087.61624393649
30,2,Mujeres,25,1.453566266829163,PAN-PRI-PRD,2,0.6879631309698864,43747.82110535951,VERACRUZ DE IGNACIO DE LA LLAVE,25-29,43747.82110535951
8,2,Hombres,40,1.6113609878218107,PAN-PRI-PRD,2,0.6205934036865134,39463.75609601111,COAHUILA DE ZARAGOZA,40-44,-39463.75609601111
4,2,Hombres,27,0.7060986874661334,PAN-PRI-PRD,2,1.4162326283150937,90058.7384381414,CAMPECHE,25-29,-90058.7384381414
26,2,Hombres,26,0.549308568659551,PAN-PRI-PRD,2,1.820470418730674,115764.36384599587,SONORA,25-29,-115764.36384599587
15,2,Mujeres,44,0.5214441514450278,PAN-PRI-PRD,2,1.9177509177709573,121950.465509692,MEXICO,40-44,121950.465509692
15,2,Mujeres,50,2.537161359692173,PAN-PRI-PRD,2,0.3941412698013528,25063.58405747702,MEXICO,50-54,25063.58405747702
2,1,Hombres,33,0.7060986874661334,MORENA-PT-Partido Verde,2,1.4162326283150937,90058.7384381414,BAJA CALIFORNIA,30-34,-90058.7384381414
15,1,Hombres,21,0.5458401079084114,MORENA-PT-Partido Verde,2,1.832038330477162,116499.97148376924,MEXICO,20-24,-116499.97148376924
22,3,Mujeres,58,2.1968398145797545,Movimiento Ciudadano,2,0.4551993246677821,28946.28756452687,QUERETARO,55-59,28946.28756452687
22,3,Hombres,68,0.4461327446568079,Movimiento Ciudadano,2,2.241485324663313,142536.85201911145,QUERETARO,65-100,-142536.85201911145
30,3,Hombres,55,0.5227832741710348,Movimiento Ciudadano,2,1.9128385497521447,121638.08627363072,VERACRUZ DE IGNACIO DE LA LLAVE,55-59,-121638.08627363072
14,1,Mujeres,25,0.9259251161066312,MORENA-PT-Partido Verde,2,1.0800009445740515,68677.64563231081,JALISCO,25-29,68677.64563231081
10,1,Mujeres,45,0.4788700801741992,MORENA-PT-Partido Verde,2,2.088249070888347,132792.50393529516,DURANGO,45-49,132792.50393529516
32,2,Hombres,68,1.249948108193703,PAN-PRI-PRD,2,0.8000332121347803,50874.39757632958,ZACATECAS,65-100,-50874.39757632958
22,2,Hombres,25,0.549308568659551,PAN-PRI-PRD,2,1.820470418730674,115764.36384599587,QUERETARO,25-29,-115764.36384599587
23,2,Hombres,50,1.5207073577121544,PAN-PRI-PRD,2,0.6575887168090391,41816.30126502229,QUINTANA ROO,50-54,-41816.30126502229
30,2,Mujeres,49,0.5734518885405548,PAN-PRI-PRD,2,1.7438254542068343,110890.4831892106,VERACRUZ DE IGNACIO DE LA LLAVE,45-49,110890.4831892106
19,2,Hombres,37,1.0264407229216197,PAN-PRI-PRD,2,0.9742403800519918,61952.29357719403,NUEVO LEON,35-39,-61952.29357719403
7,2,Mujeres,29,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081,CIUDAD DE MEXICO,25-29,68677.64563231081
30,2,Hombres,64,0.6260383938828235,PAN-PRI-PRD,2,1.5973461208948976,101575.81008989963,VERACRUZ DE IGNACIO DE LA LLAVE,60-64,-101575.81008989963
