estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,N_estado,rango_edad,total
2,2,Hombres,23,60562.06230275593,MORENA-PT-Partido Verde,3,64939.07813416844,BAJA CALIFORNIA,20-24,-64939.07813416844
2,2,Hombres,27,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,BAJA CALIFORNIA,25-29,-34175.52303859391
14,2,Hombres,18,45223.09735893498,MORENA-PT-Partido Verde,3,48491.51665575541,JALISCO,18-18,-48491.51665575541
14,2,Hombres,24,50644.81736858345,MORENA-PT-Partido Verde,3,54305.08188026931,JALISCO,20-24,-54305.08188026931
23,2,Hombres,26,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,QUINTANA ROO,25-29,-32171.27272322034
23,2,Hombres,28,68965.6457007371,MORENA-PT-Partido Verde,3,73950.01564419553,QUINTANA ROO,25-29,-73950.01564419553
15,2,Hombres,18,65769.82651872934,MORENA-PT-Partido Verde,3,70523.2242888154,MEXICO,18-18,-70523.2242888154
2,1,Hombres,29,159394.88653734355,PAN-PRI-PRD,3,170914.86976269033,BAJA CALIFORNIA,25-29,-170914.86976269033
2,8,Hombres,18,120105.9934544248,Ninguno,3,128786.4414908455,BAJA CALIFORNIA,18-18,-128786.4414908455
17,2,Hombres,20,48026.829712222,MORENA-PT-Partido Verde,3,51497.88380103533,MORELOS,20-24,-51497.88380103533
17,2,Hombres,27,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,MORELOS,25-29,-32171.27272322034
17,2,Hombres,18,45223.09735893498,MORENA-PT-Partido Verde,3,48491.51665575541,MORELOS,18-18,-48491.51665575541
27,2,Hombres,24,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,TABASCO,20-24,-34175.52303859391
27,2,Hombres,29,30621.906031863517,MORENA-PT-Partido Verde,3,32835.05007605823,TABASCO,25-29,-32835.05007605823
27,2,Hombres,28,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,TABASCO,25-29,-32171.27272322034
7,2,Hombres,25,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,CIUDAD DE MEXICO,25-29,-32171.27272322034
28,2,Hombres,21,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,TAMAULIPAS,20-24,-67590.18048513819
2,2,Hombres,21,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,BAJA CALIFORNIA,20-24,-67590.18048513819
31,2,Hombres,18,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,YUCATAN,18-18,-63626.30141295792
31,2,Hombres,21,174940.91641793627,MORENA-PT-Partido Verde,3,187584.46142958425,YUCATAN,20-24,-187584.46142958425
31,1,Hombres,19,35184.87730689268,PAN-PRI-PRD,3,37727.80202152164,YUCATAN,19-19,-37727.80202152164
8,2,Hombres,20,27144.458349879027,MORENA-PT-Partido Verde,3,29106.27601947202,COAHUILA DE ZARAGOZA,20-24,-29106.27601947202
16,1,Hombres,22,28139.736883380556,PAN-PRI-PRD,3,30173.48654690109,MICHOACAN  DE OCAMPO,20-24,-30173.48654690109
16,2,Hombres,25,86817.83385862612,MORENA-PT-Partido Verde,3,93092.43909496162,MICHOACAN  DE OCAMPO,25-29,-93092.43909496162
21,1,Hombres,24,26451.880609960896,PAN-PRI-PRD,3,28363.643449568888,PUEBLA,20-24,-28363.643449568888
2,8,Hombres,18,189751.9152328709,Ninguno,3,203465.89896187824,BAJA CALIFORNIA,18-18,-203465.89896187824
2,2,Hombres,22,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,BAJA CALIFORNIA,20-24,-67590.18048513819
26,9,Hombres,26,31527.82000859744,NS,3,33806.43738159393,SONORA,25-29,-33806.43738159393
8,9,Hombres,24,18983.684705721913,NS,3,20355.696908346446,COAHUILA DE ZARAGOZA,20-24,-20355.696908346446
2,9,Hombres,18,68549.4974444897,NS,3,73503.79100949349,BAJA CALIFORNIA,18-18,-73503.79100949349
26,3,Hombres,29,223408.85735323193,Movimiento Ciudadano,3,239555.33698637973,SONORA,25-29,-239555.33698637973
14,1,Hombres,20,25946.528188581186,PAN-PRI-PRD,3,27821.767576630275,JALISCO,20-24,-27821.767576630275
19,1,Hombres,22,255904.93111448712,PAN-PRI-PRD,3,274400.00694636925,NUEVO LEON,20-24,-274400.00694636925
25,2,Hombres,22,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,SINALOA,20-24,-34175.52303859391
5,2,Hombres,19,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,CHIAPAS,19-19,-67590.18048513819
5,2,Hombres,24,62795.556659892645,MORENA-PT-Partido Verde,3,67333.99434169868,CHIAPAS,20-24,-67333.99434169868
5,2,Hombres,23,54963.29191022291,MORENA-PT-Partido Verde,3,58935.66652380416,CHIAPAS,20-24,-58935.66652380416
2,2,Hombres,19,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,BAJA CALIFORNIA,19-19,-67590.18048513819
2,8,Hombres,22,73735.47280158615,Ninguno,3,79064.57355406405,BAJA CALIFORNIA,20-24,-79064.57355406405
14,2,Hombres,28,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,JALISCO,25-29,-34175.52303859391
5,2,Hombres,24,62795.556659892645,MORENA-PT-Partido Verde,3,67333.99434169868,CHIAPAS,20-24,-67333.99434169868
5,2,Hombres,19,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,CHIAPAS,19-19,-67590.18048513819
2,1,Hombres,29,26278.77016338567,PAN-PRI-PRD,3,28178.02175194916,BAJA CALIFORNIA,25-29,-28178.02175194916
2,2,Hombres,20,31517.237688054476,MORENA-PT-Partido Verde,3,33795.090242569095,BAJA CALIFORNIA,20-24,-33795.090242569095
20,2,Hombres,24,42175.77023440115,MORENA-PT-Partido Verde,3,45223.94935840681,OAXACA,20-24,-45223.94935840681
32,2,Hombres,29,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,ZACATECAS,25-29,-34175.52303859391
32,2,Hombres,29,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,ZACATECAS,25-29,-34175.52303859391
20,2,Hombres,29,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,OAXACA,25-29,-32171.27272322034
32,2,Hombres,25,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132,ZACATECAS,25-29,-34880.65330837132
30,2,Hombres,18,100308.72551668892,MORENA-PT-Partido Verde,3,107558.36106279184,VERACRUZ DE IGNACIO DE LA LLAVE,18-18,-107558.36106279184
30,1,Hombres,28,172818.7076796422,PAN-PRI-PRD,3,185308.8738119739,VERACRUZ DE IGNACIO DE LA LLAVE,25-29,-185308.8738119739
7,2,Hombres,19,72195.5066655953,MORENA-PT-Partido Verde,3,77413.30909201266,CIUDAD DE MEXICO,19-19,-77413.30909201266
14,2,Hombres,24,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,JALISCO,20-24,-34175.52303859391
19,3,Hombres,18,33055.80027137847,Movimiento Ciudadano,3,35444.84971266954,NUEVO LEON,18-18,-35444.84971266954
15,2,Hombres,29,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,MEXICO,25-29,-32171.27272322034
9,2,Hombres,22,35489.569590897474,MORENA-PT-Partido Verde,3,38054.515400913355,COLIMA,20-24,-38054.515400913355
16,1,Hombres,23,50733.88425494732,PAN-PRI-PRD,3,54400.585918157514,MICHOACAN  DE OCAMPO,20-24,-54400.585918157514
25,2,Hombres,20,30002.8685192787,MORENA-PT-Partido Verde,3,32171.27272322034,SINALOA,20-24,-32171.27272322034
12,2,Hombres,19,26223.89966596239,MORENA-PT-Partido Verde,3,28119.185586469554,GUERRERO,19-19,-28119.185586469554
12,2,Hombres,25,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132,GUERRERO,25-29,-34880.65330837132
20,3,Hombres,23,54782.118540988406,Movimiento Ciudadano,3,58741.39917006487,OAXACA,20-24,-58741.39917006487
14,2,Hombres,18,38828.896890568874,MORENA-PT-Partido Verde,3,41635.186669088696,JALISCO,18-18,-41635.186669088696
25,2,Hombres,19,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,SINALOA,19-19,-63626.30141295792
25,2,Hombres,19,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,SINALOA,19-19,-67590.18048513819
15,2,Hombres,20,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,MEXICO,20-24,-67590.18048513819
14,2,Hombres,20,17897.82583719831,MORENA-PT-Partido Verde,3,19191.359512548664,JALISCO,20-24,-19191.359512548664
9,2,Hombres,18,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,COLIMA,18-18,-67590.18048513819
9,2,Hombres,18,46156.167931252654,MORENA-PT-Partido Verde,3,49492.02325174154,COLIMA,18-18,-49492.02325174154
9,2,Hombres,26,32529.631764374037,MORENA-PT-Partido Verde,3,34880.65330837132,COLIMA,25-29,-34880.65330837132
25,9,Hombres,23,36095.09617186896,NS,3,38703.80534347586,SINALOA,20-24,-38703.80534347586
25,2,Hombres,21,62624.59790467197,MORENA-PT-Partido Verde,3,67150.6798451167,SINALOA,20-24,-67150.6798451167
25,2,Hombres,25,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,SINALOA,25-29,-63626.30141295792
25,2,Hombres,21,40633.07251152616,MORENA-PT-Partido Verde,3,43569.75588886534,SINALOA,20-24,-43569.75588886534
25,2,Hombres,29,37306.50405355264,MORENA-PT-Partido Verde,3,40002.76558508283,SINALOA,25-29,-40002.76558508283
25,2,Hombres,29,30621.906031863517,MORENA-PT-Partido Verde,3,32835.05007605823,SINALOA,25-29,-32835.05007605823
14,2,Hombres,23,62286.09550018669,MORENA-PT-Partido Verde,3,66787.71277864557,JALISCO,20-24,-66787.71277864557
14,2,Hombres,21,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,JALISCO,20-24,-67590.18048513819
9,2,Hombres,27,26773.75803377849,MORENA-PT-Partido Verde,3,28708.78399432811,COLIMA,25-29,-28708.78399432811
15,2,Hombres,29,54963.29191022291,MORENA-PT-Partido Verde,3,58935.66652380416,MEXICO,25-29,-58935.66652380416
15,2,Hombres,18,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,MEXICO,18-18,-67590.18048513819
30,2,Hombres,26,35118.63490432613,MORENA-PT-Partido Verde,3,37656.77206658781,VERACRUZ DE IGNACIO DE LA LLAVE,25-29,-37656.77206658781
15,2,Hombres,29,34985.52521924438,MORENA-PT-Partido Verde,3,37514.042114679534,MEXICO,25-29,-37514.042114679534
15,2,Hombres,27,31872.028599118305,MORENA-PT-Partido Verde,3,34175.52303859391,MEXICO,25-29,-34175.52303859391
15,2,Hombres,19,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,MEXICO,19-19,-63626.30141295792
15,2,Hombres,19,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,MEXICO,19-19,-63626.30141295792
15,2,Hombres,18,83412.5616460551,MORENA-PT-Partido Verde,3,89441.05686205837,MEXICO,18-18,-89441.05686205837
15,8,Hombres,19,91570.30661066332,Ninguno,3,98188.38840118272,MEXICO,19-19,-98188.38840118272
15,3,Hombres,28,210790.04336384495,Movimiento Ciudadano,3,226024.52055676735,MEXICO,25-29,-226024.52055676735
15,2,Hombres,22,23337.87495736279,MORENA-PT-Partido Verde,3,25024.578551590537,MEXICO,20-24,-25024.578551590537
15,2,Hombres,26,88609.11244538234,MORENA-PT-Partido Verde,3,95013.17917022374,MEXICO,25-29,-95013.17917022374
15,2,Hombres,20,59337.76919814336,MORENA-PT-Partido Verde,3,63626.30141295792,MEXICO,20-24,-63626.30141295792
15,2,Hombres,20,45223.09735893498,MORENA-PT-Partido Verde,3,48491.51665575541,MEXICO,20-24,-48491.51665575541
15,2,Hombres,18,63034.47537610895,MORENA-PT-Partido Verde,3,67590.18048513819,MEXICO,18-18,-67590.18048513819
1,2,Hombres,27,43695.89868238415,MORENA-PT-Partido Verde,3,46853.942398671024,AGUASCALIENTES,25-29,-46853.942398671024
17,2,Hombres,25,35225.63277570966,MORENA-PT-Partido Verde,3,37771.50301969223,MORELOS,25-29,-37771.50301969223
17,1,Hombres,26,96967.94087760102,PAN-PRI-PRD,3,103976.12712857383,MORELOS,25-29,-103976.12712857383
17,3,Hombres,22,450914.3125035309,Movimiento Ciudadano,3,483503.3461228275,MORELOS,20-24,-483503.3461228275
17,1,Hombres,20,242351.1438351554,PAN-PRI-PRD,3,259866.64368759585,MORELOS,20-24,-259866.64368759585
6,2,Hombres,28,43695.89868238415,MORENA-PT-Partido Verde,3,46853.942398671024,CHIHUAHUA,25-29,-46853.942398671024
1,2,Hombres,29,42812.563712890245,MORENA-PT-Partido Verde,3,45906.76595814883,AGUASCALIENTES,25-29,-45906.76595814883
3,2,Hombres,25,49099.451640492734,MORENA-PT-Partido Verde,3,52648.02758015868,BAJA CALIFORNIA SUR,25-29,-52648.02758015868
31,2,Hombres,19,86418.97521414404,MORENA-PT-Partido Verde,3,92664.75364810503,YUCATAN,19-19,-92664.75364810503
2,8,Hombres,24,31994.852778439756,Ninguno,3,34307.22411802293,BAJA CALIFORNIA,20-24,-34307.22411802293
21,1,Hombres,21,42192.11252806711,PAN-PRI-PRD,3,45241.47276241442,PUEBLA,20-24,-45241.47276241442
15,2,Hombres,28,50112.50152248248,MORENA-PT-Partido Verde,3,53734.293848824855,MEXICO,25-29,-53734.293848824855
7,8,Hombres,27,72014.78311415344,Ninguno,3,77219.5240658506,CIUDAD DE MEXICO,25-29,-77219.5240658506
14,2,Hombres,23,60746.58006008451,MORENA-PT-Partido Verde,3,65136.931585730264,JALISCO,20-24,-65136.931585730264
2,2,Hombres,24,84671.97137313477,MORENA-PT-Partido Verde,3,90791.48819745293,BAJA CALIFORNIA,20-24,-90791.48819745293
24,2,Hombres,28,26660.129874293216,MORENA-PT-Partido Verde,3,28586.94356078792,SAN LUIS POTOSI,25-29,-28586.94356078792
24,2,Hombres,22,41755.72851395261,MORENA-PT-Partido Verde,3,44773.549866271656,SAN LUIS POTOSI,20-24,-44773.549866271656
26,3,Hombres,19,86733.25609771127,Movimiento Ciudadano,3,93001.74862611652,SONORA,19-19,-93001.74862611652
25,2,Hombres,27,50112.50152248248,MORENA-PT-Partido Verde,3,53734.293848824855,SINALOA,25-29,-53734.293848824855
10,2,Hombres,21,60516.33312242253,MORENA-PT-Partido Verde,3,64890.04395828725,DURANGO,20-24,-64890.04395828725
5,2,Hombres,25,30715.20347272476,MORENA-PT-Partido Verde,3,32935.09042428016,CHIAPAS,25-29,-32935.09042428016
7,9,Hombres,28,153619.82108655627,NS,3,164722.42168085635,CIUDAD DE MEXICO,25-29,-164722.42168085635
30,2,Hombres,28,49099.451640492734,MORENA-PT-Partido Verde,3,52648.02758015868,VERACRUZ DE IGNACIO DE LA LLAVE,25-29,-52648.02758015868
8,2,Hombres,26,69989.04318898816,MORENA-PT-Partido Verde,3,75047.37737404571,COAHUILA DE ZARAGOZA,25-29,-75047.37737404571
7,2,Hombres,18,84671.97137313477,MORENA-PT-Partido Verde,3,90791.48819745293,CIUDAD DE MEXICO,18-18,-90791.48819745293
28,2,Hombres,27,49099.451640492734,MORENA-PT-Partido Verde,3,52648.02758015868,TAMAULIPAS,25-29,-52648.02758015868
14,1,Hombres,25,23214.060838448928,PAN-PRI-PRD,3,24891.81598643768,JALISCO,25-29,-24891.81598643768
9,3,Hombres,25,102442.94992697275,Movimiento Ciudadano,3,109846.83276381197,COLIMA,25-29,-109846.83276381197
25,2,Hombres,25,42812.563712890245,MORENA-PT-Partido Verde,3,45906.76595814883,SINALOA,25-29,-45906.76595814883
9,2,Hombres,26,84671.97137313477,MORENA-PT-Partido Verde,3,90791.48819745293,COLIMA,25-29,-90791.48819745293
15,2,Hombres,22,54061.22306705567,MORENA-PT-Partido Verde,3,57968.40225205608,MEXICO,20-24,-57968.40225205608
15,1,Hombres,23,63305.17192223936,PAN-PRI-PRD,3,67880.44114488807,MEXICO,20-24,-67880.44114488807
15,3,Hombres,23,216531.5740318641,Movimiento Ciudadano,3,232181.0101887799,MEXICO,20-24,-232181.0101887799
1,3,Hombres,31,59217.20184647488,Movimiento Ciudadano,3,63497.020269404915,AGUASCALIENTES,30-34,-63497.020269404915
14,1,Hombres,38,249601.94095665595,PAN-PRI-PRD,3,267641.479333949,JALISCO,35-39,-267641.479333949
18,2,Hombres,43,22094.44960140427,MORENA-PT-Partido Verde,3,23691.286829440534,NAYARIT,40-44,-23691.286829440534
6,2,Hombres,44,56307.3255984766,MORENA-PT-Partido Verde,3,60376.8378673449,CHIHUAHUA,40-44,-60376.8378673449
32,8,Hombres,44,158205.86502525338,Ninguno,3,169639.9138259055,ZACATECAS,40-44,-169639.9138259055
4,2,Hombres,48,44632.17176006852,MORENA-PT-Partido Verde,3,47857.8829554294,CAMPECHE,45-49,-47857.8829554294
15,2,Hombres,44,261118.60376192653,MORENA-PT-Partido Verde,3,279990.48855390586,MEXICO,40-44,-279990.48855390586
18,8,Hombres,38,507761.3407120743,Ninguno,3,544458.8926508705,NAYARIT,35-39,-544458.8926508705
10,2,Hombres,35,133779.80324317585,MORENA-PT-Partido Verde,3,143448.50167341385,DURANGO,35-39,-143448.50167341385
7,2,Hombres,46,56307.3255984766,MORENA-PT-Partido Verde,3,60376.8378673449,CIUDAD DE MEXICO,45-49,-60376.8378673449
26,1,Hombres,47,86723.1785514408,PAN-PRI-PRD,3,92990.94274303105,SONORA,45-49,-92990.94274303105
32,1,Hombres,34,210989.19396833863,PAN-PRI-PRD,3,226238.06441861653,ZACATECAS,30-34,-226238.06441861653
12,2,Hombres,40,56093.90470672987,MORENA-PT-Partido Verde,3,60147.992358496136,GUERRERO,40-44,-60147.992358496136
26,9,Hombres,49,123494.02619944728,NS,3,132419.33830420458,SONORA,45-49,-132419.33830420458
24,2,Hombres,32,56093.90470672987,MORENA-PT-Partido Verde,3,60147.992358496136,SAN LUIS POTOSI,30-34,-60147.992358496136
8,3,Hombres,45,128136.7312387006,Movimiento Ciudadano,3,137397.58663053758,COAHUILA DE ZARAGOZA,45-49,-137397.58663053758
25,2,Hombres,49,103151.33606523034,MORENA-PT-Partido Verde,3,110606.41625605668,SINALOA,45-49,-110606.41625605668
11,1,Hombres,49,36363.0502930747,PAN-PRI-PRD,3,38991.12537439496,GUANAJUATO,45-49,-38991.12537439496
25,2,Hombres,48,53232.37733294311,MORENA-PT-Partido Verde,3,57079.65315993248,SINALOA,45-49,-57079.65315993248
15,2,Hombres,33,59815.23702179853,MORENA-PT-Partido Verde,3,64138.27737823947,MEXICO,30-34,-64138.27737823947
30,2,Hombres,45,50110.5228718672,MORENA-PT-Partido Verde,3,53732.17219473943,VERACRUZ DE IGNACIO DE LA LLAVE,45-49,-53732.17219473943
15,2,Hombres,31,56307.3255984766,MORENA-PT-Partido Verde,3,60376.8378673449,MEXICO,30-34,-60376.8378673449
15,3,Hombres,31,28207.382064396556,Movimiento Ciudadano,3,30246.020663613264,MEXICO,30-34,-30246.020663613264
3,3,Hombres,31,57923.91705710538,Movimiento Ciudadano,3,62110.26561156731,BAJA CALIFORNIA SUR,30-34,-62110.26561156731
19,2,Hombres,34,27878.59629606423,MORENA-PT-Partido Verde,3,29893.47248597031,NUEVO LEON,30-34,-29893.47248597031
14,2,Hombres,34,31972.47891583961,MORENA-PT-Partido Verde,3,34283.233224114956,JALISCO,30-34,-34283.233224114956
16,1,Hombres,38,68043.54270190274,PAN-PRI-PRD,3,72961.26928364877,MICHOACAN  DE OCAMPO,35-39,-72961.26928364877
16,2,Hombres,36,14744.496465495187,MORENA-PT-Partido Verde,3,15810.128843287275,MICHOACAN  DE OCAMPO,35-39,-15810.128843287275
18,2,Hombres,49,13121.817090676244,MORENA-PT-Partido Verde,3,14070.173189510342,NAYARIT,45-49,-14070.173189510342
18,2,Hombres,40,14744.496465495187,MORENA-PT-Partido Verde,3,15810.128843287275,NAYARIT,40-44,-15810.128843287275
18,2,Hombres,31,13657.508097348882,MORENA-PT-Partido Verde,3,14644.580315281268,NAYARIT,30-34,-14644.580315281268
11,2,Hombres,31,22474.447832407703,MORENA-PT-Partido Verde,3,24098.74875982554,GUANAJUATO,30-34,-24098.74875982554
6,2,Hombres,35,22665.2410860676,MORENA-PT-Partido Verde,3,24303.33125810563,CHIHUAHUA,35-39,-24303.33125810563
6,1,Hombres,49,36806.12848782808,PAN-PRI-PRD,3,39466.226261230615,CHIHUAHUA,45-49,-39466.226261230615
6,1,Hombres,39,44132.379843029674,PAN-PRI-PRD,3,47321.96946243835,CHIHUAHUA,35-39,-47321.96946243835
19,2,Hombres,31,29983.349976352096,MORENA-PT-Partido Verde,3,32150.343512160125,NUEVO LEON,30-34,-32150.343512160125
19,2,Hombres,35,25713.105676434927,MORENA-PT-Partido Verde,3,27571.474865679284,NUEVO LEON,35-39,-27571.474865679284
19,2,Hombres,35,184423.4990946928,MORENA-PT-Partido Verde,3,197752.38098095628,NUEVO LEON,35-39,-197752.38098095628
13,2,Hombres,31,48076.62058605911,MORENA-PT-Partido Verde,3,51551.273222127245,HIDALGO,30-34,-51551.273222127245
13,9,Hombres,40,118609.99825159417,NS,3,127182.32588330055,HIDALGO,40-44,-127182.32588330055
17,2,Hombres,45,22938.154370132634,MORENA-PT-Partido Verde,3,24595.96886659977,MORELOS,45-49,-24595.96886659977
1,1,Hombres,31,25699.022450603603,PAN-PRI-PRD,3,27556.373799634515,AGUASCALIENTES,30-34,-27556.373799634515
11,2,Hombres,45,25713.105676434927,MORENA-PT-Partido Verde,3,27571.474865679284,GUANAJUATO,45-49,-27571.474865679284
3,9,Hombres,40,51946.91829880609,NS,3,55701.28984993175,BAJA CALIFORNIA SUR,40-44,-55701.28984993175
27,2,Hombres,41,26243.63418135249,MORENA-PT-Partido Verde,3,28140.346379020684,TABASCO,40-44,-28140.346379020684
27,1,Hombres,42,138894.9172879188,PAN-PRI-PRD,3,148933.30152973626,TABASCO,40-44,-148933.30152973626
29,2,Hombres,48,28947.87440529815,MORENA-PT-Partido Verde,3,31040.030777455995,TLAXCALA,45-49,-31040.030777455995
31,2,Hombres,45,25713.105676434927,MORENA-PT-Partido Verde,3,27571.474865679284,YUCATAN,45-49,-27571.474865679284
15,1,Hombres,34,277978.2935216123,PAN-PRI-PRD,3,298068.68254189775,MEXICO,30-34,-298068.68254189775
2,1,Hombres,42,45042.94606522011,PAN-PRI-PRD,3,48298.345246234414,BAJA CALIFORNIA,40-44,-48298.345246234414
9,2,Hombres,38,27568.25920696736,MORENA-PT-Partido Verde,3,29560.706333192273,COLIMA,35-39,-29560.706333192273
9,2,Hombres,42,13939.298148032114,MORENA-PT-Partido Verde,3,14946.736242985156,COLIMA,40-44,-14946.736242985156
30,3,Hombres,31,26100.026910807956,Movimiento Ciudadano,3,27986.360147245658,VERACRUZ DE IGNACIO DE LA LLAVE,30-34,-27986.360147245658
