N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon,estado,rango_edad,total
GUERRERO,7,Mujeres,28,31332.031494050814,MORENA-PT-Partido Verde,5,31680.67213007264,12,25-29,31680.67213007264
MEXICO,7,Hombres,56,76153.90920697972,MORENA-PT-Partido Verde,5,77001.29592515375,15,55-59,-77001.29592515375
MEXICO,7,Mujeres,43,63112.73078815214,MORENA-PT-Partido Verde,5,63815.00451742608,15,40-44,63815.00451742608
MEXICO,99,Mujeres,58,63363.90097955765,NS,5,64068.96955267367,15,55-59,64068.96955267367
MICHOACAN  DE OCAMPO,4,Mujeres,52,54602.35630211168,MORENA-PT-Partido Verde,5,55209.93261688313,16,50-54,55209.93261688313
MEXICO,7,Mujeres,52,63363.90097955765,MORENA-PT-Partido Verde,5,64068.96955267367,15,50-54,64068.96955267367
MICHOACAN  DE OCAMPO,1,Mujeres,42,51523.62700431195,PAN-PRI-PRD,5,52096.94540188682,16,40-44,52096.94540188682
MICHOACAN  DE OCAMPO,4,Mujeres,26,66236.63633834635,MORENA-PT-Partido Verde,5,66973.67067412927,16,25-29,66973.67067412927
MICHOACAN  DE OCAMPO,99,Mujeres,56,54602.35630211168,NS,5,55209.93261688313,16,55-59,55209.93261688313
MICHOACAN  DE OCAMPO,7,Hombres,25,54397.05535423289,MORENA-PT-Partido Verde,5,55002.34722558873,16,25-29,-55002.34722558873
MICHOACAN  DE OCAMPO,7,Mujeres,51,64663.499635260654,MORENA-PT-Partido Verde,5,65383.02922096641,16,50-54,65383.02922096641
MORELOS,2,Hombres,70,82032.45229427367,PAN-PRI-PRD,5,82945.25127278024,17,65-100,-82945.25127278024
MICHOACAN  DE OCAMPO,7,Hombres,27,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486,16,25-29,-64600.128160258486
CIUDAD DE MEXICO,7,Hombres,34,77332.15879663048,MORENA-PT-Partido Verde,5,78192.65624100836,7,30-34,-78192.65624100836
MEXICO,7,Mujeres,40,60526.413461235476,MORENA-PT-Partido Verde,5,61199.90848466706,15,40-44,61199.90848466706
CIUDAD DE MEXICO,7,Hombres,32,77332.15879663048,MORENA-PT-Partido Verde,5,78192.65624100836,7,30-34,-78192.65624100836
MICHOACAN  DE OCAMPO,99,Mujeres,43,54385.91627756178,NS,5,54991.08420116862,16,40-44,54991.08420116862
CIUDAD DE MEXICO,7,Mujeres,45,65829.26964624513,MORENA-PT-Partido Verde,5,66561.77109424977,7,45-49,66561.77109424977
MORELOS,6,Mujeres,65,94881.4695118666,Movimiento Ciudadano,5,95937.24324564391,17,65-100,95937.24324564391
CIUDAD DE MEXICO,1,Mujeres,40,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977,7,40-44,66561.77109424977
MEXICO,7,Hombres,29,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752,15,25-29,-71893.87132362752
CIUDAD DE MEXICO,1,Mujeres,41,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977,7,40-44,66561.77109424977
CIUDAD DE MEXICO,2,Hombres,32,77332.15879663048,PAN-PRI-PRD,5,78192.65624100836,7,30-34,-78192.65624100836
MORELOS,4,Mujeres,22,88938.27519411877,MORENA-PT-Partido Verde,5,89927.9172745006,17,20-24,89927.9172745006
CIUDAD DE MEXICO,99,Mujeres,21,84413.4112401941,NS,5,85352.70384205239,7,20-24,85352.70384205239
MORELOS,5,Mujeres,35,71328.03960556042,MORENA-PT-Partido Verde,5,72121.72746774051,17,35-39,72121.72746774051
MICHOACAN  DE OCAMPO,99,Mujeres,51,51728.67595552939,NS,5,52304.275992479656,16,50-54,52304.275992479656
MICHOACAN  DE OCAMPO,7,Hombres,32,60526.77367814427,MORENA-PT-Partido Verde,5,61200.27270981427,16,30-34,-61200.27270981427
MICHOACAN  DE OCAMPO,2,Mujeres,60,51728.67595552939,PAN-PRI-PRD,5,52304.275992479656,16,60-64,52304.275992479656
MORELOS,1,Hombres,64,82032.45229427367,PAN-PRI-PRD,5,82945.25127278024,17,60-64,-82945.25127278024
MEXICO,2,Hombres,30,64908.01792658057,PAN-PRI-PRD,5,65630.26833849963,15,30-34,-65630.26833849963
MORELOS,7,Mujeres,32,71328.03960556042,MORENA-PT-Partido Verde,5,72121.72746774051,17,30-34,72121.72746774051
MEXICO,99,Mujeres,52,55473.06790370331,NS,5,56090.33287995297,15,50-54,56090.33287995297
MORELOS,7,Mujeres,55,69633.98079965312,MORENA-PT-Partido Verde,5,70408.8183763143,17,55-59,70408.8183763143
MORELOS,6,Hombres,45,74953.39320142585,Movimiento Ciudadano,5,75787.42142850396,17,45-49,-75787.42142850396
MORELOS,4,Hombres,36,74953.39320142585,MORENA-PT-Partido Verde,5,75787.42142850396,17,35-39,-75787.42142850396
MORELOS,7,Mujeres,24,88938.27519411877,MORENA-PT-Partido Verde,5,89927.9172745006,17,20-24,89927.9172745006
MEXICO,1,Mujeres,58,55473.06790370331,PAN-PRI-PRD,5,56090.33287995297,15,55-59,56090.33287995297
MEXICO,2,Hombres,69,71587.03023786917,PAN-PRI-PRD,5,72383.59996421401,15,65-100,-72383.59996421401
MEXICO,7,Hombres,70,65350.16013977783,MORENA-PT-Partido Verde,5,66077.33039682248,15,65-100,-66077.33039682248
CIUDAD DE MEXICO,7,Hombres,23,65842.75249864484,MORENA-PT-Partido Verde,5,66575.40397427334,7,20-24,-66575.40397427334
MEXICO,1,Mujeres,28,56822.619345309686,PAN-PRI-PRD,5,57454.90117334041,15,25-29,57454.90117334041
CIUDAD DE MEXICO,5,Hombres,63,77858.93211268428,MORENA-PT-Partido Verde,5,78725.29111710761,7,60-64,-78725.29111710761
MEXICO,6,Hombres,70,65350.16013977783,Movimiento Ciudadano,5,66077.33039682248,15,65-100,-66077.33039682248
MEXICO,7,Mujeres,19,70851.60035983725,MORENA-PT-Partido Verde,5,71639.98674382604,15,19-19,71639.98674382604
MEXICO,7,Hombres,28,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752,15,25-29,-71893.87132362752
MEXICO,1,Mujeres,19,77613.51535348102,PAN-PRI-PRD,5,78477.14353417735,15,19-19,78477.14353417735
MEXICO,6,Hombres,28,71102.69098119572,Movimiento Ciudadano,5,71893.87132362752,15,25-29,-71893.87132362752
MEXICO,7,Hombres,79,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401,15,65-100,-72383.59996421401
MEXICO,7,Mujeres,42,60526.413461235476,MORENA-PT-Partido Verde,5,61199.90848466706,15,40-44,61199.90848466706
MEXICO,2,Mujeres,56,60767.29086686028,PAN-PRI-PRD,5,61443.46620331008,15,55-59,61443.46620331008
MEXICO,7,Mujeres,53,60767.29086686028,MORENA-PT-Partido Verde,5,61443.46620331008,15,50-54,61443.46620331008
CIUDAD DE MEXICO,7,Hombres,50,79431.77487644115,MORENA-PT-Partido Verde,5,80315.63536019316,7,50-54,-80315.63536019316
MICHOACAN  DE OCAMPO,7,Hombres,38,69603.2117980837,MORENA-PT-Partido Verde,5,70377.70699910675,16,35-39,-70377.70699910675
CHIAPAS,1,Hombres,50,81725.61119209354,PAN-PRI-PRD,5,82634.99586032654,5,50-54,-82634.99586032654
MEXICO,99,Hombres,72,65350.16013977783,NS,5,66077.33039682248,15,65-100,-66077.33039682248
MEXICO,7,Mujeres,59,55473.06790370331,MORENA-PT-Partido Verde,5,56090.33287995297,15,55-59,56090.33287995297
MEXICO,3,Mujeres,64,75586.17417232522,PAN-PRI-PRD,5,76427.24353748589,15,60-64,76427.24353748589
CHIAPAS,7,Mujeres,36,67730.29187044091,MORENA-PT-Partido Verde,5,68483.94654617229,5,35-39,68483.94654617229
MICHOACAN  DE OCAMPO,7,Mujeres,68,88108.81984222484,MORENA-PT-Partido Verde,5,89089.23233142964,16,65-100,89089.23233142964
MICHOACAN  DE OCAMPO,7,Mujeres,20,82589.8513848035,MORENA-PT-Partido Verde,5,83508.8527052641,16,20-24,83508.8527052641
MICHOACAN  DE OCAMPO,7,Hombres,50,77715.83195008623,MORENA-PT-Partido Verde,5,78580.59863734005,16,50-54,-78580.59863734005
MICHOACAN  DE OCAMPO,99,Mujeres,45,64407.177923225,NS,5,65123.855342618874,16,45-49,65123.855342618874
NUEVO LEON,7,Hombres,65,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534,19,65-100,-76115.04344938534
NUEVO LEON,1,Mujeres,25,81614.56595569167,PAN-PRI-PRD,5,82522.714991251,19,25-29,82522.714991251
NUEVO LEON,1,Hombres,29,74768.10238890554,PAN-PRI-PRD,5,75600.06883116966,19,25-29,-75600.06883116966
NUEVO LEON,1,Hombres,73,75277.40979533693,PAN-PRI-PRD,5,76115.04344938534,19,65-100,-76115.04344938534
NUEVO LEON,7,Hombres,24,63659.643503971914,MORENA-PT-Partido Verde,5,64368.002890255615,19,20-24,-64368.002890255615
CHIAPAS,99,Mujeres,85,92654.82942580651,NS,5,93685.8266871121,5,65-100,93685.8266871121
NUEVO LEON,1,Hombres,36,68781.2827456899,PAN-PRI-PRD,5,69546.63210286156,19,35-39,-69546.63210286156
NUEVO LEON,7,Mujeres,62,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012,19,60-64,88037.19713913012
NUEVO LEON,7,Mujeres,49,63899.90255968519,MORENA-PT-Partido Verde,5,64610.93537842762,19,45-49,64610.93537842762
NUEVO LEON,99,Mujeres,61,87068.36212584043,NS,5,88037.19713913012,19,60-64,88037.19713913012
CHIAPAS,7,Hombres,36,73194.4171785298,MORENA-PT-Partido Verde,5,74008.87276731645,5,35-39,-74008.87276731645
CHIAPAS,7,Hombres,23,67744.1640815893,MORENA-PT-Partido Verde,5,68497.9731174527,5,20-24,-68497.9731174527
CHIAPAS,99,Hombres,18,67744.1640815893,NS,5,68497.9731174527,5,18-18,-68497.9731174527
CHIAPAS,1,Mujeres,35,69654.1419197119,PAN-PRI-PRD,5,70429.20383502542,5,35-39,70429.20383502542
CHIAPAS,99,Mujeres,45,67730.29187044091,NS,5,68483.94654617229,5,45-49,68483.94654617229
CHIAPAS,1,Hombres,29,79565.36225319986,PAN-PRI-PRD,5,80450.7092025839,5,25-29,-80450.7092025839
CIUDAD DE MEXICO,7,Mujeres,24,84413.4112401941,MORENA-PT-Partido Verde,5,85352.70384205239,7,20-24,85352.70384205239
CIUDAD DE MEXICO,6,Mujeres,31,67699.12197014563,Movimiento Ciudadano,5,68452.42980932203,7,30-34,68452.42980932203
CHIAPAS,5,Mujeres,30,69654.1419197119,MORENA-PT-Partido Verde,5,70429.20383502542,5,30-34,70429.20383502542
CIUDAD DE MEXICO,1,Hombres,19,65842.75249864484,PAN-PRI-PRD,5,66575.40397427334,7,19-19,-66575.40397427334
CIUDAD DE MEXICO,99,Hombres,26,77332.15879663048,NS,5,78192.65624100836,7,25-29,-78192.65624100836
CIUDAD DE MEXICO,7,Hombres,21,65842.75249864484,MORENA-PT-Partido Verde,5,66575.40397427334,7,20-24,-66575.40397427334
MEXICO,1,Mujeres,52,67400.90585159809,PAN-PRI-PRD,5,68150.89535320477,15,50-54,68150.89535320477
MEXICO,99,Mujeres,42,67133.73324760844,NS,5,67880.74984186949,15,40-44,67880.74984186949
CIUDAD DE MEXICO,7,Mujeres,55,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893,7,55-59,66826.66745631893
CIUDAD DE MEXICO,1,Mujeres,20,84413.4112401941,PAN-PRI-PRD,5,85352.70384205239,7,20-24,85352.70384205239
CIUDAD DE MEXICO,7,Mujeres,31,67699.12197014563,MORENA-PT-Partido Verde,5,68452.42980932203,7,30-34,68452.42980932203
MEXICO,2,Hombres,43,57582.88444088083,PAN-PRI-PRD,5,58223.62595996336,15,40-44,-58223.62595996336
MEXICO,7,Mujeres,57,67400.90585159809,MORENA-PT-Partido Verde,5,68150.89535320477,15,55-59,68150.89535320477
CIUDAD DE MEXICO,7,Mujeres,51,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893,7,50-54,66826.66745631893
MEXICO,1,Hombres,24,67147.48327432577,PAN-PRI-PRD,5,67894.65286913709,15,20-24,-67894.65286913709
MEXICO,4,Hombres,24,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709,15,20-24,-67894.65286913709
MICHOACAN  DE OCAMPO,2,Hombres,20,64420.369509248776,PAN-PRI-PRD,5,65137.19371526076,16,20-24,-65137.19371526076
MICHOACAN  DE OCAMPO,1,Hombres,37,69603.2117980837,PAN-PRI-PRD,5,70377.70699910675,16,35-39,-70377.70699910675
MEXICO,1,Mujeres,50,67400.90585159809,PAN-PRI-PRD,5,68150.89535320477,15,50-54,68150.89535320477
MEXICO,7,Hombres,28,78864.56204076714,MORENA-PT-Partido Verde,5,79742.11098216586,15,25-29,-79742.11098216586
MICHOACAN  DE OCAMPO,7,Mujeres,22,82589.8513848035,MORENA-PT-Partido Verde,5,83508.8527052641,16,20-24,83508.8527052641
MEXICO,7,Mujeres,26,69040.63830366835,MORENA-PT-Partido Verde,5,69808.87358563895,15,25-29,69808.87358563895
MEXICO,7,Mujeres,53,53496.25011331257,MORENA-PT-Partido Verde,5,54091.518462504326,15,50-54,54091.518462504326
MEXICO,99,Hombres,29,78864.56204076714,NS,5,79742.11098216586,15,25-29,-79742.11098216586
NUEVO LEON,6,Hombres,58,76798.10274678403,Movimiento Ciudadano,5,77652.65759401735,19,55-59,-77652.65759401735
CIUDAD DE MEXICO,99,Hombres,36,71140.03043515644,NS,5,71931.62626456298,7,35-39,-71931.62626456298
MICHOACAN  DE OCAMPO,1,Mujeres,74,74399.76496045296,PAN-PRI-PRD,5,75227.63280491787,16,65-100,75227.63280491787
MEXICO,1,Hombres,54,64294.47226359081,PAN-PRI-PRD,5,65009.89557429832,15,50-54,-65009.89557429832
MEXICO,7,Mujeres,25,68326.75885815368,MORENA-PT-Partido Verde,5,69087.05059570474,15,25-29,69087.05059570474
MEXICO,7,Mujeres,26,54797.70943743509,MORENA-PT-Partido Verde,5,55407.45950341578,15,25-29,55407.45950341578
MEXICO,7,Hombres,51,64294.47226359081,MORENA-PT-Partido Verde,5,65009.89557429832,15,50-54,-65009.89557429832
NUEVO LEON,6,Hombres,32,29906.12061585841,Movimiento Ciudadano,5,30238.89472641801,19,30-34,-30238.89472641801
CHIAPAS,7,Mujeres,62,42397.419637759725,MORENA-PT-Partido Verde,5,42869.18806908533,5,60-64,42869.18806908533
PUEBLA,5,Mujeres,46,52171.574377951896,MORENA-PT-Partido Verde,5,52752.102674587964,21,45-49,52752.102674587964
MEXICO,99,Mujeres,72,72892.61314428173,NS,5,73703.71047171613,15,65-100,73703.71047171613
MEXICO,3,Hombres,31,62594.979736606954,PAN-PRI-PRD,5,63291.49229919925,15,30-34,-63291.49229919925
CHIAPAS,5,Mujeres,20,39741.72612063108,MORENA-PT-Partido Verde,5,40183.94387704859,5,20-24,40183.94387704859
NUEVO LEON,7,Mujeres,27,26180.804192357577,MORENA-PT-Partido Verde,5,26472.125622534215,19,25-29,26472.125622534215
CHIAPAS,7,Hombres,20,30998.68372081232,MORENA-PT-Partido Verde,5,31343.61509911492,5,20-24,-31343.61509911492
NUEVO LEON,7,Hombres,42,27511.482466235346,MORENA-PT-Partido Verde,5,27817.61074096125,19,40-44,-27817.61074096125
NUEVO LEON,1,Mujeres,31,26180.804192357577,PAN-PRI-PRD,5,26472.125622534215,19,30-34,26472.125622534215
NUEVO LEON,7,Mujeres,35,26180.804192357577,MORENA-PT-Partido Verde,5,26472.125622534215,19,35-39,26472.125622534215
NUEVO LEON,7,Hombres,28,29906.12061585841,MORENA-PT-Partido Verde,5,30238.89472641801,19,25-29,-30238.89472641801
NUEVO LEON,1,Mujeres,50,25559.00353537806,PAN-PRI-PRD,5,25843.40600862178,19,50-54,25843.40600862178
NUEVO LEON,7,Mujeres,59,25559.00353537806,MORENA-PT-Partido Verde,5,25843.40600862178,19,55-59,25843.40600862178
NUEVO LEON,1,Mujeres,56,25559.00353537806,PAN-PRI-PRD,5,25843.40600862178,19,55-59,25843.40600862178
NUEVO LEON,7,Hombres,48,30718.090341091913,MORENA-PT-Partido Verde,5,31059.89947517017,19,45-49,-31059.89947517017
CHIAPAS,7,Mujeres,32,31872.660095314724,MORENA-PT-Partido Verde,5,32227.31646317417,5,30-34,32227.31646317417
MEXICO,7,Hombres,20,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709,15,20-24,-67894.65286913709
CHIAPAS,5,Mujeres,18,39741.72612063108,MORENA-PT-Partido Verde,5,40183.94387704859,5,18-18,40183.94387704859
CHIAPAS,7,Hombres,60,37396.37808775148,MORENA-PT-Partido Verde,5,37812.49847381396,5,60-64,-37812.49847381396
MICHOACAN  DE OCAMPO,1,Hombres,26,63889.21427319153,PAN-PRI-PRD,5,64600.128160258486,16,25-29,-64600.128160258486
MICHOACAN  DE OCAMPO,99,Mujeres,42,54385.91627756178,NS,5,54991.08420116862,16,40-44,54991.08420116862
MICHOACAN  DE OCAMPO,7,Hombres,21,54397.05535423289,MORENA-PT-Partido Verde,5,55002.34722558873,16,20-24,-55002.34722558873
MEXICO,5,Mujeres,28,64905.42098456637,MORENA-PT-Partido Verde,5,65627.6424995556,15,25-29,65627.6424995556
MEXICO,1,Mujeres,56,63363.90097955765,PAN-PRI-PRD,5,64068.96955267367,15,55-59,64068.96955267367
MICHOACAN  DE OCAMPO,7,Hombres,34,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486,16,30-34,-64600.128160258486
MICHOACAN  DE OCAMPO,99,Mujeres,52,54602.35630211168,NS,5,55209.93261688313,16,50-54,55209.93261688313
MICHOACAN  DE OCAMPO,4,Hombres,62,64324.41657177558,MORENA-PT-Partido Verde,5,65040.173081517845,16,60-64,-65040.173081517845
MEXICO,1,Hombres,76,74645.97204689088,PAN-PRI-PRD,5,75476.57950928401,15,65-100,-75476.57950928401
MICHOACAN  DE OCAMPO,4,Mujeres,23,69739.50555859541,MORENA-PT-Partido Verde,5,70515.51733997042,16,20-24,70515.51733997042
MEXICO,1,Mujeres,45,63112.73078815214,PAN-PRI-PRD,5,63815.00451742608,15,45-49,63815.00451742608
MEXICO,7,Hombres,39,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167,15,35-39,-68963.26494256167
PUEBLA,99,Mujeres,37,51964.76980752837,NS,5,52542.996929503024,21,35-39,52542.996929503024
PUEBLA,7,Hombres,54,62702.41063039227,MORENA-PT-Partido Verde,5,63400.1186078157,21,50-54,-63400.1186078157
CIUDAD DE MEXICO,7,Mujeres,56,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893,7,55-59,66826.66745631893
CHIAPAS,7,Mujeres,67,42397.419637759725,MORENA-PT-Partido Verde,5,42869.18806908533,5,65-100,42869.18806908533
CHIAPAS,99,Mujeres,27,31872.660095314724,NS,5,32227.31646317417,5,25-29,32227.31646317417
CHIAPAS,1,Hombres,63,36655.88572487113,PAN-PRI-PRD,5,37063.76643683482,5,60-64,-37063.76643683482
CHIAPAS,7,Hombres,29,36407.881520957395,MORENA-PT-Partido Verde,5,36813.00261794352,5,25-29,-36813.00261794352
MEXICO,1,Hombres,23,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026,15,20-24,-63828.074817179026
CIUDAD DE MEXICO,7,Mujeres,54,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893,7,50-54,66826.66745631893
