voto,genero,edad,ponderado,inverso,homo_pon,estado,partido,rango_edad,total
NA,Hombres,29,2.31,0.4329004329004329,20918.381983921747,NA,PAN-PRI-PRD,25-29,-20918.381983921747
NA,Mujeres,46,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,45-49,210093.3147080836
NA,Hombres,55,0.16,6.25,302009.1398928702,NA,MORENA-PT-Partido Verde,55-59,-302009.1398928702
NA,Hombres,57,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Hombres,29,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Mujeres,67,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,65-100,268452.56879366236
NA,Mujeres,48,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,45-49,28093.87347840653
NA,Mujeres,45,1.58,0.6329113924050632,30583.20403978432,NA,MORENA-PT-Partido Verde,45-49,30583.20403978432
NA,Mujeres,65,0.2,5,241607.31191429615,NA,MORENA-PT-Partido Verde,65-100,241607.31191429615
NA,Hombres,29,0.81,1.2345679012345678,59656.12639859164,NA,MORENA-PT-Partido Verde,25-29,-59656.12639859164
NA,Mujeres,45,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,45-49,210093.3147080836
NA,Hombres,35,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,35-39,-254323.48622557492
NA,Hombres,33,1.46,0.684931506849315,33096.892043054264,NA,MORENA-PT-Partido Verde,30-34,-33096.892043054264
NA,Hombres,29,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Mujeres,40,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,40-44,210093.3147080836
NA,Mujeres,56,0.53,1.8867924528301885,91172.57053369663,NA,PAN-PRI-PRD,55-59,91172.57053369663
NA,Mujeres,23,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde,20-24,50864.69724511498
NA,Mujeres,25,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Hombres,55,0.16,6.25,302009.1398928702,NA,MORENA-PT-Partido Verde,55-59,-302009.1398928702
NA,Mujeres,49,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,45-49,210093.3147080836
NA,Hombres,39,1.34,0.7462686567164178,36060.792823029275,NA,MORENA-PT-Partido Verde,35-39,-36060.792823029275
NA,Mujeres,29,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Hombres,70,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,65-100,-41300.395199024984
NA,Mujeres,40,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD,40-44,74340.71135824495
NA,Hombres,69,1.08,0.9259259259259258,44742.094798943726,NA,MORENA-PT-Partido Verde,65-100,-44742.094798943726
NA,Hombres,56,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Mujeres,20,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,20-24,127161.74311278746
NA,Mujeres,57,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,55-59,268452.56879366236
NA,Hombres,28,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Hombres,56,0.16,6.25,302009.1398928702,NA,MORENA-PT-Partido Verde,55-59,-302009.1398928702
NA,Hombres,68,0.39,2.564102564102564,123901.18559707492,NA,MORENA-PT-Partido Verde,65-100,-123901.18559707492
NA,Mujeres,44,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,40-44,9841.438367181105
NA,Hombres,38,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,35-39,-230102.2018231392
NA,Mujeres,25,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD,25-29,41300.395199024984
NA,Hombres,50,1.53,0.6535947712418301,31582.655152195573,NA,Movimiento Ciudadano,50-54,-31582.655152195573
NA,Mujeres,41,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,40-44,9841.438367181105
NA,Mujeres,48,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,45-49,210093.3147080836
NA,Mujeres,68,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,65-100,268452.56879366236
NA,Hombres,50,0.48,2.0833333333333335,100669.7132976234,NA,PAN-PRI-PRD,50-54,-100669.7132976234
NA,Mujeres,65,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,65-100,268452.56879366236
NA,Hombres,28,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD,25-29,-48809.55796248407
NA,Mujeres,52,0.47,2.127659574468085,102811.62209118984,NA,MORENA-PT-Partido Verde,50-54,102811.62209118984
NA,Hombres,46,0.55,1.818181818181818,87857.20433247133,NA,PAN-PRI-PRD,45-49,-87857.20433247133
NA,Mujeres,28,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Mujeres,30,0.25,4,193285.84953143692,NA,MORENA-PT-Partido Verde,30-34,193285.84953143692
NA,Mujeres,28,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD,25-29,41300.395199024984
NA,Mujeres,36,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD,35-39,68058.39772233694
NA,Hombres,28,0.88,1.1363636363636365,54910.752707794585,NA,MORENA-PT-Partido Verde,25-29,-54910.752707794585
NA,Mujeres,40,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,40-44,9841.438367181105
NA,Mujeres,31,0.32,3.125,151004.5699464351,NA,Movimiento Ciudadano,30-34,151004.5699464351
NA,Hombres,53,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,50-54,-41300.395199024984
NA,Hombres,37,1.52,0.6578947368421053,31790.435778196865,NA,PAN-PRI-PRD,35-39,-31790.435778196865
NA,Mujeres,35,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD,35-39,68058.39772233694
NA,Hombres,29,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,25-29,-138061.3210938835
NA,Mujeres,45,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,45-49,9841.438367181105
NA,Hombres,49,1.9,0.5263157894736842,25432.34862255749,NA,Movimiento Ciudadano,45-49,-25432.34862255749
NA,Mujeres,27,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,25-29,117857.2253240469
NA,Mujeres,53,3.96,0.25252525252525254,12202.389490621015,NA,PAN-PRI-PRD,50-54,12202.389490621015
NA,Hombres,44,0.27,3.7037037037037033,178968.3791957749,NA,Movimiento Ciudadano,40-44,-178968.3791957749
NA,Hombres,25,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,25-29,-138061.3210938835
NA,Mujeres,38,0.63,1.5873015873015872,76700.73394104639,NA,MORENA-PT-Partido Verde,35-39,76700.73394104639
NA,Hombres,40,4.16,0.24038461538461536,11615.736149725775,NA,PAN-PRI-PRD,40-44,-11615.736149725775
NA,Mujeres,26,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,25-29,117857.2253240469
NA,Hombres,52,1.53,0.6535947712418301,31582.655152195573,NA,Movimiento Ciudadano,50-54,-31582.655152195573
NA,Mujeres,48,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD,45-49,68058.39772233694
NA,Hombres,24,3.14,0.3184713375796178,15389.000758872366,NA,Movimiento Ciudadano,20-24,-15389.000758872366
NA,Mujeres,41,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD,40-44,68058.39772233694
NA,Hombres,22,0.45,2.2222222222222223,107381.02751746496,NA,Movimiento Ciudadano,20-24,-107381.02751746496
NA,Mujeres,45,0.25,4,193285.84953143692,NA,MORENA-PT-Partido Verde,45-49,193285.84953143692
NA,Mujeres,42,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,40-44,210093.3147080836
NA,Hombres,58,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Mujeres,27,2.96,0.33783783783783783,16324.818372587575,NA,PAN-PRI-PRD,25-29,16324.818372587575
NA,Mujeres,55,1.33,0.7518796992481203,36331.926603653556,NA,PAN-PRI-PRD,55-59,36331.926603653556
NA,Hombres,28,0.91,1.0989010989010988,53100.50811303211,NA,PAN-PRI-PRD,25-29,-53100.50811303211
NA,Hombres,45,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,45-49,-254323.48622557492
NA,Hombres,27,2.31,0.4329004329004329,20918.381983921747,NA,PAN-PRI-PRD,25-29,-20918.381983921747
NA,Mujeres,58,0.47,2.127659574468085,102811.62209118984,NA,MORENA-PT-Partido Verde,55-59,102811.62209118984
NA,Hombres,42,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,40-44,-254323.48622557492
NA,Mujeres,25,1.08,0.9259259259259258,44742.094798943726,NA,PAN-PRI-PRD,25-29,44742.094798943726
NA,Hombres,31,0.55,1.818181818181818,87857.20433247133,NA,PAN-PRI-PRD,30-34,-87857.20433247133
NA,Hombres,39,0.55,1.818181818181818,87857.20433247133,NA,PAN-PRI-PRD,35-39,-87857.20433247133
NA,Mujeres,40,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,40-44,210093.3147080836
NA,Mujeres,58,0.53,1.8867924528301885,91172.57053369663,NA,PAN-PRI-PRD,55-59,91172.57053369663
NA,Mujeres,38,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,35-39,210093.3147080836
NA,Hombres,42,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,40-44,-230102.2018231392
NA,Mujeres,29,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde,25-29,50864.69724511498
NA,Hombres,72,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD,65-100,-42762.35609102587
NA,Mujeres,45,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD,45-49,74340.71135824495
NA,Mujeres,29,2.73,0.3663003663003663,17700.169371010707,NA,PAN-PRI-PRD,25-29,17700.169371010707
NA,Mujeres,62,1.33,0.7518796992481203,36331.926603653556,NA,PAN-PRI-PRD,60-64,36331.926603653556
NA,Mujeres,58,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde,55-59,37751.14248660878
NA,Hombres,55,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Hombres,29,0.81,1.2345679012345678,59656.12639859164,NA,MORENA-PT-Partido Verde,25-29,-59656.12639859164
NA,Mujeres,45,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD,45-49,74340.71135824495
NA,Hombres,56,0.39,2.564102564102564,123901.18559707492,NA,MORENA-PT-Partido Verde,55-59,-123901.18559707492
NA,Hombres,49,1.52,0.6578947368421053,31790.435778196865,NA,PAN-PRI-PRD,45-49,-31790.435778196865
NA,Hombres,26,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Mujeres,57,1.33,0.7518796992481203,36331.926603653556,NA,PAN-PRI-PRD,55-59,36331.926603653556
NA,Mujeres,62,0.2,5,241607.31191429615,NA,MORENA-PT-Partido Verde,60-64,241607.31191429615
NA,Hombres,71,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,65-100,-41300.395199024984
NA,Mujeres,28,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,25-29,117857.2253240469
NA,Hombres,45,4.16,0.24038461538461536,11615.736149725775,NA,PAN-PRI-PRD,45-49,-11615.736149725775
NA,Mujeres,35,0.63,1.5873015873015872,76700.73394104639,NA,MORENA-PT-Partido Verde,35-39,76700.73394104639
NA,Hombres,24,0.45,2.2222222222222223,107381.02751746496,NA,Movimiento Ciudadano,20-24,-107381.02751746496
NA,Hombres,50,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,50-54,-41300.395199024984
NA,Mujeres,26,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,25-29,117857.2253240469
NA,Mujeres,43,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,40-44,210093.3147080836
NA,Mujeres,50,0.57,1.7543859649122808,84774.49540852498,NA,PAN-PRI-PRD,50-54,84774.49540852498
NA,Hombres,57,3.36,0.2976190476190476,14381.3876139462,NA,PAN-PRI-PRD,55-59,-14381.3876139462
NA,Mujeres,24,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,20-24,117857.2253240469
NA,Mujeres,58,0.2,5,241607.31191429615,NA,MORENA-PT-Partido Verde,55-59,241607.31191429615
NA,Mujeres,41,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,40-44,210093.3147080836
NA,Hombres,29,0.91,1.0989010989010988,53100.50811303211,NA,PAN-PRI-PRD,25-29,-53100.50811303211
NA,Hombres,37,0.55,1.818181818181818,87857.20433247133,NA,PAN-PRI-PRD,35-39,-87857.20433247133
NA,Mujeres,27,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Mujeres,30,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde,30-34,83312.8661773435
NA,Hombres,62,0.43,2.3255813953488373,112375.49391362612,NA,MORENA-PT-Partido Verde,60-64,-112375.49391362612
NA,Mujeres,41,0.63,1.5873015873015872,76700.73394104639,NA,MORENA-PT-Partido Verde,40-44,76700.73394104639
NA,Hombres,55,0.43,2.3255813953488373,112375.49391362612,NA,MORENA-PT-Partido Verde,55-59,-112375.49391362612
NA,Mujeres,42,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,40-44,28093.87347840653
NA,Hombres,35,0.27,3.7037037037037033,178968.3791957749,NA,Movimiento Ciudadano,35-39,-178968.3791957749
NA,Mujeres,26,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD,25-29,41300.395199024984
NA,Hombres,50,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,50-54,-41300.395199024984
NA,Mujeres,23,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,20-24,117857.2253240469
NA,Mujeres,55,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde,55-59,268452.56879366236
NA,Hombres,24,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,20-24,-151004.5699464351
NA,Hombres,46,4.16,0.24038461538461536,11615.736149725775,NA,PAN-PRI-PRD,45-49,-11615.736149725775
NA,Mujeres,40,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde,40-44,28093.87347840653
NA,Hombres,20,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,20-24,-151004.5699464351
NA,Hombres,58,3.36,0.2976190476190476,14381.3876139462,NA,PAN-PRI-PRD,55-59,-14381.3876139462
NA,Hombres,33,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde,30-34,-254323.48622557492
NA,Mujeres,51,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde,50-54,34763.64200205701
NA,Hombres,69,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD,65-100,-42762.35609102587
NA,Mujeres,51,0.2,5,241607.31191429615,NA,MORENA-PT-Partido Verde,50-54,241607.31191429615
NA,Hombres,46,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,45-49,-230102.2018231392
NA,Hombres,60,2.07,0.4830917874396136,23343.701634231515,NA,Ninguno,60-64,-23343.701634231515
NA,Mujeres,20,0.86,1.162790697674419,56187.74695681306,NA,NS,20-24,56187.74695681306
NA,Mujeres,37,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,35-39,210093.3147080836
NA,Mujeres,54,0.35,2.857142857142857,138061.3210938835,NA,Ninguno,50-54,138061.3210938835
NA,Mujeres,46,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,45-49,210093.3147080836
NA,Hombres,51,1.91,0.5235602094240838,25299.194964847768,NA,Ninguno,50-54,-25299.194964847768
NA,Hombres,30,0.69,1.4492753623188408,70031.10490269455,NA,Movimiento Ciudadano,30-34,-70031.10490269455
NA,Mujeres,67,0.47,2.127659574468085,102811.62209118984,NA,MORENA-PT-Partido Verde,65-100,102811.62209118984
NA,Hombres,27,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,25-29,-151004.5699464351
NA,Mujeres,58,0.2,5,241607.31191429615,NA,MORENA-PT-Partido Verde,55-59,241607.31191429615
NA,Hombres,56,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,55-59,-107381.02751746496
NA,Mujeres,29,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Hombres,48,0.55,1.818181818181818,87857.20433247133,NA,PAN-PRI-PRD,45-49,-87857.20433247133
NA,Hombres,25,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,25-29,-138061.3210938835
NA,Mujeres,20,8.12,0.12315270935960591,5950.919012667394,NA,PAN-PRI-PRD,20-24,5950.919012667394
NA,Hombres,41,1.46,0.684931506849315,33096.892043054264,NA,MORENA-PT-Partido Verde,40-44,-33096.892043054264
NA,Hombres,25,0.45,2.2222222222222223,107381.02751746496,NA,Movimiento Ciudadano,25-29,-107381.02751746496
NA,Mujeres,30,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD,30-34,68058.39772233694
NA,Hombres,53,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,50-54,-41300.395199024984
NA,Mujeres,26,2.84,0.35211267605633806,17014.599430584236,NA,MORENA-PT-Partido Verde,25-29,17014.599430584236
NA,Hombres,51,3.36,0.2976190476190476,14381.3876139462,NA,PAN-PRI-PRD,50-54,-14381.3876139462
NA,Mujeres,64,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde,60-64,37751.14248660878
NA,Mujeres,26,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,25-29,127161.74311278746
NA,Hombres,45,0.25,4,193285.84953143692,NA,Movimiento Ciudadano,45-49,-193285.84953143692
NA,Hombres,59,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD,55-59,-42762.35609102587
NA,Mujeres,25,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD,25-29,41300.395199024984
NA,Hombres,40,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,40-44,-230102.2018231392
NA,Mujeres,37,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde,35-39,210093.3147080836
NA,Hombres,53,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,50-54,-107381.02751746496
NA,Mujeres,21,1.04,0.9615384615384616,46462.9445989031,NA,MORENA-PT-Partido Verde,20-24,46462.9445989031
NA,Hombres,50,0.16,6.25,302009.1398928702,NA,MORENA-PT-Partido Verde,50-54,-302009.1398928702
NA,Hombres,48,0.64,1.5625,75502.28497321755,NA,Movimiento Ciudadano,45-49,-75502.28497321755
NA,Hombres,59,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,55-59,-41300.395199024984
NA,Mujeres,35,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde,35-39,83312.8661773435
NA,Hombres,44,1.4,0.7142857142857143,34515.33027347088,NA,PAN-PRI-PRD,40-44,-34515.33027347088
NA,Hombres,31,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde,30-34,-98615.22935277394
NA,Mujeres,21,0.79,1.2658227848101264,61166.40807956864,NA,NS,20-24,61166.40807956864
NA,Hombres,27,1.43,0.6993006993006994,33791.2324355659,NA,Ninguno,25-29,-33791.2324355659
NA,Mujeres,19,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,19-19,127161.74311278746
NA,Hombres,46,3.84,0.2604166666666667,12583.714162202925,NA,PAN-PRI-PRD,45-49,-12583.714162202925
NA,Hombres,18,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD,18-18,-48809.55796248407
NA,Mujeres,35,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD,35-39,29285.734777490445
NA,Mujeres,54,1.66,0.6024096385542169,29109.314688469414,NA,Movimiento Ciudadano,50-54,29109.314688469414
NA,Hombres,40,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,40-44,-230102.2018231392
NA,Mujeres,34,0.32,3.125,151004.5699464351,NA,Movimiento Ciudadano,30-34,151004.5699464351
NA,Mujeres,29,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD,25-29,41300.395199024984
NA,Hombres,50,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde,50-54,-41300.395199024984
NA,Hombres,31,1.52,0.6578947368421053,31790.435778196865,NA,PAN-PRI-PRD,30-34,-31790.435778196865
NA,Mujeres,23,1.04,0.9615384615384616,46462.9445989031,NA,MORENA-PT-Partido Verde,20-24,46462.9445989031
NA,Hombres,42,1.9,0.5263157894736842,25432.34862255749,NA,Movimiento Ciudadano,40-44,-25432.34862255749
NA,Mujeres,51,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde,50-54,34763.64200205701
NA,Hombres,28,6.89,0.14513788098693758,7013.274656438204,NA,PAN-PRI-PRD,25-29,-7013.274656438204
NA,Mujeres,44,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,40-44,9841.438367181105
NA,Mujeres,25,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde,25-29,117857.2253240469
NA,Hombres,34,0.69,1.4492753623188408,70031.10490269455,NA,Movimiento Ciudadano,30-34,-70031.10490269455
NA,Mujeres,47,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD,45-49,9841.438367181105
NA,Hombres,29,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde,25-29,-138061.3210938835
NA,Hombres,37,0.21,4.761904761904762,230102.2018231392,NA,MORENA-PT-Partido Verde,35-39,-230102.2018231392
NA,Mujeres,21,2.96,0.33783783783783783,16324.818372587575,NA,PAN-PRI-PRD,20-24,16324.818372587575
NA,Hombres,61,1.08,0.9259259259259258,44742.094798943726,NA,MORENA-PT-Partido Verde,60-64,-44742.094798943726
NA,Hombres,24,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde,20-24,-151004.5699464351
NA,Mujeres,20,1.83,0.5464480874316939,26405.17070101597,NA,Ninguno,20-24,26405.17070101597
NA,Mujeres,23,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde,20-24,127161.74311278746
NA,Hombres,50,0.45,2.2222222222222223,107381.02751746496,NA,PAN-PRI-PRD,50-54,-107381.02751746496
NA,Hombres,61,1.08,0.9259259259259258,44742.094798943726,NA,MORENA-PT-Partido Verde,60-64,-44742.094798943726
